Jak nazywa się amerykańska baza wojskowa na Kubie;Santa Clara;Bayamo;Guantanamo;Matanzas;Guantanamo
Jaką planetą jest największy księżyc w Układzie Słonecznym?;Mars;Wenus;Saturn;Jowisz;Jowisz
Co to jest paradoksalny sen?;Sen, który trwa dłużej niż 24 godziny;Sen, który nie jest w pełni snem REM;Sen, który wywołuje omamy senne;Sen, który prowadzi do utraty pamięci;Sen, który wydaje się nierealny i sprzeczny;Sen, który wydaje się nierealny i sprzeczny
Który pierwiastek chemiczny ma najniższe topnienie?;Hel;Azot;Siarka;Rtęć;Hel
Co to jest efekt Dopplera?;Zjawisko rozszczepiania promieniowania świetlnego;Zjawisko załamania promieniowania świetlnego;Zjawisko zmiany częstotliwości dźwięku lub światła w zależności od ruchu źródła;Zjawisko interferencji fal dźwiękowych;Zjawisko zmiany kierunku promieniowania świetlnego;Zjawisko zmiany częstotliwości dźwięku lub światła w zależności od ruchu źródła
Jakie jest największe jezioro na świecie pod względem powierzchni?;Jezioro Wiktorii;Jezioro Bajkał;Jezioro Górne;Jezioro Tanganika;Jezioro Kaspijskie;Jezioro Kaspijskie
Który gracz zdobył najwięcej tytułów mistrza świata w szachach?;Garry Kasparov;Magnus Carlsen;Viswanathan Anand;Mikhail Tal;Garry Kasparov
Który kontynent jest najmniejszy pod względem powierzchni?;Afryka;Australia;Europa;Ameryka Południowa;Australia
Ile kości znajduje się w ludzkim ciele?;206;152;274;187;206
Który z tych krajów jest najmniej zaludniony?;Chiny;Indie;Rosja;Kanada;Kanada
Który z tych mózgownic ma największe rozmiary?;Gorzka zgnilizna;Skrzyp;Mątwica;Jaworznica;Gorzka zgnilizna
