Wafel pieczony z delikatnego ciasta w specjalnych formekach to:;bajgel;andrut;bakława;beza;andrut
Jaką planetą jest czwarta od Słońca?;Mars;Jowisz;Wenus;Saturn;Mars
Które miasto jest stolicą Kanady?;Toronto;Vancouver;Montreal;Ottawa;Ottawa
Co to jest homonim?;słowo mające wiele znaczeń;osoba o identycznym imieniu i nazwisku;twór językowy złożony z dwóch wyrazów;metoda badawcza stosowana w psychologii;słowo mające wiele znaczeń
Jaką jednostką mierzy się moc elektryczną?;volt;ampere;joule;watt;watt
Które państwo jest największym producentem kawy na świecie?;Etiopia;Brazylia;Kolumbia;Wietnam;Brazylia
Kto napisał powieść "Zbrodnia i kara"?;Leo Tolstoy;Fyodor Dostoevsky;Anton Chekhov;Ivan Turgenev;Fyodor Dostoevsky
Jakie jest największe jezioro słodkowodne na świecie?;Jezioro Bajkał;Jezioro Wiktorii;Jezioro Huron;Jezioro Michigan;Jezioro Bajkał
Kto namalował obraz Mona Lisa?;Pablo Picasso;Michelangelo;Vincent van Gogh;Leonardo da Vinci;Leonardo da Vinci
Jakie jest najgłębsze miejsce na Ziemi?;Row Mariański;Wielka Rafa Koralowa;Góra Everest;Wielki Błękit;Row Mariański
