Gdzie produkowany jest od 1835 roku włoski wermut Cinzano (rodzaj wina);w Turynie;w Wenecji;w Mediolanie;we Florencji;w Wenecji
Jakie jest największe zwierzę na Ziemi?;Słoń;Gorilla;Błękitny wieloryb;Hipopotam;Błękitny wieloryb
Który z tych języków jest najbardziej rozpowszechniony na świecie?;Chiński;Hiszpański;Angielski;Hindi;Chiński
Jak nazywa się najwyższy aktywny wulkan w Europie?;Etna;Wezuwiusz;Stromboli;Teide;Etna
Która z tych substancji chemicznych jest najbardziej kwasotwórcza?;Kwas siarkowy;Kwas octowy;Kwas solny;Kwas azotowy;Kwas siarkowy
Które z tych państw jest najbardziej zaludnione?;Nigeria;Rosja;Japonia;Bangladesz;Nigeria
Jak nazywa się największa pustynia na Ziemi?;Sahara;Kalahari;Gobi;Pustynia Australijska;Antarktyda
Kto jest autorem obrazu "Mona Lisa"?;Leonardo da Vinci;Pablo Picasso;Vincent van Gogh;Michelangelo;Leonardo da Vinci
Który z tych gatunków jest największym drapieżnikiem na lądzie?;Niedźwiedź polarny;Lew;Tygrys syberyjski;Goryl;Lew
Jak nazywa się najstarsza cywilizacja znana ludzkości?;Starożytny Egipt;Starożytna Grecja;Starożytna Mezopotamia;Starożytna Chiny;Starożytna Mezopotamia
Który z tych elementów chemicznych ma najwyższą temperaturę topnienia?;Wolfram;Srebro;Platyna;Ołów;Wolfram
