XVII-wieczna seria konfliktów między Ligą Katolicką a Unią Protestancką trwała:;10 lat;30 lat;50 lat;100 lat;10 lat
Woda to tlenek:;węgla;srebra;żelaza;wodoru;wodoru
Które z tych państw jest największe pod względem powierzchni?;Rosja;Chiny;Stany Zjednoczone;Kanada;Rosja
Kto napisał tragedię "Hamlet"?;William Shakespeare;Antoniusz i Kleopatra;Mikołaj Kopernik;Fiodor Dostojewski;William Shakespeare
Które z tych miast jest stolicą Francji?;Paryż;Londyn;Madryt;Berlin;Paryż
Jaki jest najwyższy szczyt w Afryce?;Góra Kilimandżaro;Góra Everest;Góra K2;Góra Aconcagua;Góra Kilimandżaro
Który z tych pierwiastków chemicznych ma symbol "Hg"?;Rtęć;Srebro;Złoto;Helm;Rtęć
Które z tych zwierząt jest roślinożerne?;Koza;Lew;Orzeł;Wilk;Koza
Kto namalował obraz "Nocna straż"?;Rembrandt;Pablo Picasso;Vincent van Gogh;Salvador Dalí;Rembrandt
Które z tych miast jest stolicą Japonii?;Tokio;Pekin;Seul;Osaka;Tokio
Który z tych oceanów jest najgłębszy?;Ocean Spokojny;Ocean Atlantycki;Ocean Indyjski;Ocean Arktyczny;Ocean Spokojny
Jak nazywa się największa wyspa na świecie?;Grenlandia;Madagaskar;Borneo;Nowa Gwinea;Grenlandia
