Międzynarodowa organizacja policyjna ściagjąca przestępstwa kryminalne to:;Mosad;Czeka;Interpol;Secret Service;Interpol
Które z tych państw graniczy z Polską?;Niemcy;Szwecja;Włochy;Norwegia;Niemcy
Kto napisał powieść "Zbrodnia i kara"?;Fiodor Dostojewski;Ernest Hemingway;Jane Austen;George Orwell;Fiodor Dostojewski
Które z tych miast jest stolicą Kanady?;Ottawa;Toronto;Montreal;Vancouver;Ottawa
Jaki jest najdłuższy rzeką w Ameryce Północnej?;Missisipi;Amazonka;Jukon;Mackenzie;Missisipi
Który z tych pierwiastków jest gazem szlachetnym?;Argon;Aluminium;Fluor;Rtęć;Argon
Które z tych zwierząt nie jest ssakiem?;Rekin;Wieloryb;Krokodyl;Lew;Rekin
Kto namalował obraz "Skrzydlaty geniusz"?;Michelangelo;Leonardo da Vinci;Salvador Dalí;Vincent van Gogh;Leonardo da Vinci
Które z tych miast jest stolicą Rosji?;Moskwa;Sankt Petersburg;Kijów;Mińsk;Moskwa
Który z tych oceanów jest największy?;Ocean Spokojny;Ocean Atlantycki;Ocean Indyjski;Ocean Arktyczny;Ocean Spokojny
Jak nazywa się największa pustynia na Ziemi?;Sahara;Gobi;Kalahari;Atakama;Sahara
