Kto wypowiedział słynne "Ja ni z soli ani roli, ale z tego co mnie boli";Jan III Sobieski;Bartosz Głowacki;Stefan Czarniecki;Józef Piłsudski;Bartosz Głowacki
Która planeta Układu Słonecznego jest największa?;Jowisz;Merkury;Neptun;Mars;Jowisz
Którym morzem nie graniczy Turcja?;Morze Śródziemne;Morze Czarne;Morze Egejskie;Morze Czerwone;Morze Czerwone
Który z tych oceanów jest najmniejszy?;Ocean Indyjski;Ocean Spokojny;Ocean Atlantycki;Ocean Arktyczny;Ocean Arktyczny
Kto jest autorem dramatu "Romeo i Julia"?;William Shakespeare;Oscar Wilde;George Bernard Shaw;Jane Austen;William Shakespeare
Które z tych miast jest stolicą Australii?;Canberra;Melbourne;Sydney;Brisbane;Canberra
Co to jest fotosynteza?;proces przemiany światła w energię chemiczną;rozpad związków organicznych;rozkład substancji chemicznych;oddychanie komórkowe;proces przemiany światła w energię chemiczną
Jaki jest największy kontynent na Ziemi?;Azja;Europa;Afryka;Ameryka Południowa;Azja
Który pierwiastek chemiczny ma symbol "Fe"?;Żelazo;Fosfor;Fluor;Fosfor;Żelazo
Kto jest autorem obrazu "Mona Lisa"?;Leonardo da Vinci;Vincent van Gogh;Pablo Picasso;Michelangelo;Leonardo da Vinci
Które z tych państw leży w Afryce?;Nigeria;Bangladesz;Kanada;Meksyk;Nigeria
