Kto wypowiedział słynne "To mały krok dla człowieka, ale wielki skok dla ludzkości";kosmonauta na księżycu;laureat nagrody Nobla;genetyk, który sklonował owcę;konstuktor pierwszego komputera;kosmonauta na księżycu
Które z tych państw nie graniczy z Morzem Śródziemnym?;Hiszpania;Francja;Grecja;Włochy;Francja
Kto jest autorem powieści "Zabić drozda"?;Harper Lee;F. Scott Fitzgerald;John Steinbeck;Ernest Hemingway;Harper Lee
Jaki jest najwyższy szczyt w Afryce?;Góra Kilimandżaro;Góra Elbrus;Góra Aconcagua;Góra Everest;Góra Kilimandżaro
Który z tych fizyków był laureatem Nagrody Nobla?;Albert Einstein;Marie Curie;Isaac Newton;Stephen Hawking;Albert Einstein
Które z tych państw jest najmniejsze pod względem powierzchni?;Watykan;Monako;Nauru;San Marino;Watkan
Co to jest mitoza?;proces podziału komórki;proces syntezy białek;proces fotosyntezy;proces wchłaniania substancji odżywczych;proces podziału komórki
Jaka jest stolica Japonii?;Tokio;Kioto;Osaka;Hiroshima;Tokio
Który z tych filmów otrzymał Oscara za Najlepszy Film w 2020 roku?;Parasite;1917;Joker;Once Upon a Time... in Hollywood;Parasite
Który pierwiastek chemiczny ma liczbę atomową 1?;Wodór;Hel;Tlen;Azot;Wodór
Która z tych planet nie posiada naturalnych satelitów?;Wenus;Mars;Jowisz;Saturn;Wenus
