Jakie włoskie miasteczko było tłem burzliwego i tragicznego w skutkach romansu Romea i Julii;Werona;Wenecja;Florencja;Palermo;Werona
Jaką jednostkę miary stosuje się do wyrażania energii?;kilogram;sekunda;amper;joule;joule
Kto jest autorem kompozycji "Symfonia nr 9"?;Ludwig van Beethoven;Wolfgang Amadeus Mozart;Johann Sebastian Bach;Franz Schubert;Ludwig van Beethoven
Która planeta Układu Słonecznego jest najbliżej Ziemi?;Wenus;Mars;Saturn;Jowisz;Wenus
Jaki jest największy gatunek lwa?;Lew afrykański;Lew azjatycki;Lew morski;Lew królewski;Lew afrykański
Który z tych odkrywców odkrył Amerykę?;Krzysztof Kolumb;Ferdynand Magellan;James Cook;Vasco da Gama;Krzysztof Kolumb
Co to jest rezonans magnetyczny?;badanie obrazowe układu nerwowego;metoda badawcza stosowana w chemii;technika obrazowania wnętrza ciała;analiza składu chemicznego próbki;technika obrazowania wnętrza ciała
Jaki jest najwyższy szczyt w Europie?;Mont Blanc;Góra Elbrus;Kilimandżaro;Mount Everest;Góra Elbrus
Kto jest autorem obrazu "Nocna straż"?;Rembrandt van Rijn;Vincent van Gogh;Pablo Picasso;Claude Monet;Rembrandt van Rijn
Które z tych państw jest najmniejsze pod względem powierzchni?;Monako;Malta;Andora;San Marino;Monako
Jaką jednostkę używamy do mierzenia temperatury?;Stopnie Celsiusza;Kilogramy;Sekundy;Metry;Stopnie Celsiusza
