Który z podanych instrumentów nie należy do grupy aerofonów;obój;tuba;dudy;żele;żele
Jak nazywa się najwyższy szczyt w Himalajach?;Mount Everest;K2;Kangchenjunga;Lhotse;Mount Everest
Które z tych miast jest stolicą Australii?;Sydney;Melbourne;Canberra;Adelaide;Canberra
Jak nazywa się proces, w którym energia słoneczna jest przekształcana w energię chemiczną?;Fotosynteza;Fuzja jądrowa;Fisja jądrowa;Termoliza;Fotosynteza
Który z tych oceanów jest najmniej głęboki?;Ocean Atlantycki;Ocean Spokojny;Ocean Indyjski;Ocean Arktyczny;Ocean Arktyczny
Kto jest autorem powieści "Zbrodnia i kara"?;Fiodor Dostojewski;Lew Tołstoj;Mikołaj Gogol;Iwan Turgieniew;Fiodor Dostojewski
Który z tych naukowców był pionierem teorii względności?;Albert Einstein;Isaac Newton;Galileusz Galilei;Marie Curie;Albert Einstein
Jak nazywa się największa rzeka w Ameryce Południowej?;Amazonka;Parana;Orinoko;Magdalena;Amazonka
Które z tych zwierząt jest niesłyszalne dla człowieka?;Nietoperz;Wieloryb;Słoń;Pies;Nietoperz
Jakie jest najbardziej rozpowszechnione imię na świecie?;Mohammed;John;Li;Maria;Mohammed
Która planeta jest najbliższa Słońcu?;Merkury;Wenus;Mars;Saturn;Merkury
